iter	Passed	Remaining
0	11	11151
1	22	11225
2	32	10708
3	42	10476
4	52	10423
5	61	10269
6	73	10368
7	83	10326
8	92	10226
9	103	10242
10	113	10224
11	126	10426
12	141	10716
13	152	10725
14	161	10636
15	172	10599
16	181	10511
17	191	10447
18	201	10418
19	211	10348
20	221	10310
21	230	10248
22	240	10236
23	250	10202
24	260	10171
25	270	10139
26	279	10088
27	289	10039
28	298	10011
29	308	9964
30	318	9942
31	327	9915
32	338	9907
33	349	9930
34	359	9908
35	369	9904
36	379	9879
37	389	9847
38	398	9829
39	408	9795
40	418	9779
41	427	9756
42	437	9742
43	447	9719
44	456	9693
45	466	9681
46	476	9652
47	486	9640
48	495	9622
49	504	9586
50	514	9573
51	523	9537
52	533	9530
53	543	9519
54	553	9501
55	563	9494
56	572	9475
57	582	9462
58	592	9446
59	601	9417
60	611	9406
61	620	9394
62	630	9382
63	639	9356
64	649	9347
65	659	9338
66	669	9328
67	679	9310
68	688	9290
69	698	9282
70	708	9266
71	718	9260
72	729	9262
73	739	9249
74	749	9241
75	758	9221
76	767	9201
77	777	9193
78	786	9173
79	797	9165
80	806	9151
81	816	9140
82	826	9132
83	835	9116
84	846	9111
85	856	9102
86	865	9084
87	875	9076
88	885	9061
89	895	9051
90	906	9051
91	917	9058
92	931	9080
93	942	9087
94	996	9491
95	1023	9635
96	1037	9659
97	1047	9645
98	1059	9639
99	1069	9621
100	1079	9605
101	1089	9593
102	1098	9570
103	1109	9557
104	1118	9536
105	1128	9519
106	1140	9515
107	1150	9504
108	1161	9497
109	1172	9487
110	1183	9475
111	1193	9461
112	1203	9444
113	1212	9426
114	1223	9412
115	1232	9389
116	1242	9378
117	1252	9362
118	1264	9358
119	1278	9373
120	1288	9362
121	1299	9348
122	1310	9342
123	1322	9340
124	1332	9325
125	1343	9318
126	1355	9317
127	1366	9308
128	1378	9304
129	1389	9296
130	1399	9283
131	1410	9275
132	1421	9264
133	1431	9250
134	1442	9241
135	1452	9229
136	1461	9208
137	1472	9195
138	1481	9177
139	1492	9167
140	1502	9152
141	1511	9130
142	1521	9116
143	1530	9099
144	1541	9086
145	1550	9071
146	1560	9056
147	1571	9045
148	1582	9039
149	1592	9026
150	1604	9020
151	1615	9010
152	1624	8995
153	1637	8995
154	1649	8990
155	1659	8980
156	1670	8969
157	1679	8951
158	1689	8936
159	1699	8923
160	1709	8906
161	1718	8890
162	1728	8873
163	1737	8856
164	1747	8841
165	1759	8838
166	1768	8822
167	1777	8803
168	1787	8790
169	1798	8778
170	1807	8761
171	1817	8747
172	1826	8730
173	1836	8716
174	1846	8707
175	1856	8689
176	1866	8680
177	1876	8665
178	1886	8654
179	1898	8646
180	1906	8628
181	1917	8616
182	1926	8601
183	1936	8587
184	1946	8573
185	1955	8557
186	1965	8546
187	1978	8546
188	1990	8542
189	2004	8544
190	2016	8542
191	2027	8532
192	2037	8520
193	2048	8511
194	2058	8499
195	2069	8488
196	2079	8476
197	2088	8459
198	2098	8447
199	2108	8433
200	2117	8416
201	2128	8406
202	2137	8393
203	2149	8387
204	2161	8381
205	2171	8370
206	2183	8363
207	2193	8351
208	2202	8335
209	2212	8322
210	2221	8306
211	2232	8296
212	2242	8284
213	2251	8268
214	2261	8256
215	2270	8239
216	2280	8229
217	2291	8221
218	2301	8206
219	2310	8192
220	2320	8177
221	2329	8164
222	2339	8153
223	2348	8137
224	2359	8126
225	2370	8116
226	2380	8106
227	2390	8095
228	2400	8082
229	2410	8070
230	2420	8058
231	2430	8045
232	2440	8032
233	2449	8017
234	2459	8006
235	2468	7989
236	2478	7979
237	2488	7966
238	2498	7954
239	2508	7943
240	2517	7928
241	2527	7916
242	2537	7904
243	2545	7887
244	2556	7877
245	2565	7863
246	2575	7852
247	2586	7841
248	2595	7827
249	2605	7815
250	2613	7800
251	2623	7788
252	2633	7774
253	2642	7761
254	2652	7749
255	2661	7735
256	2671	7724
257	2681	7711
258	2692	7702
259	2701	7688
260	2711	7677
261	2721	7665
262	2731	7653
263	2741	7643
264	2751	7631
265	2759	7615
266	2770	7605
267	2779	7590
268	2788	7578
269	2798	7566
270	2809	7558
271	2819	7547
272	2829	7534
273	2839	7524
274	2850	7515
275	2859	7499
276	2869	7489
277	2878	7476
278	2889	7466
279	2898	7452
280	2908	7441
281	2918	7430
282	2927	7417
283	2939	7409
284	2950	7401
285	2959	7387
286	2968	7374
287	2977	7361
288	2988	7351
289	2997	7339
290	3007	7326
291	3017	7317
292	3027	7305
